adview,views,likes,dislikes,comment,year,day_of_week,month,day,week_number,season,quarter,part_of_month
40,1031602,8523,363,1095,2016,2,9,14,37,3,2,1
2,1707,56,2,6,2016,5,10,1,39,3,3,0
1,2023,25,0,2,2016,5,7,2,26,2,2,0
6,620860,777,161,153,2016,2,7,27,30,2,2,2
1,666,1,0,0,2016,2,6,29,26,2,1,2
4,78,0,0,0,2016,0,5,9,19,1,1,0
40621,43118,15,1,0,2015,4,8,21,34,2,2,2
1,14205,55,16,1,2016,0,8,1,31,2,2,0
1,526015,3064,211,2582,2015,4,11,6,45,3,3,0
1,406992,3831,310,7839,2016,0,10,3,40,3,3,0
19,607447,377,144,65,2016,0,8,8,32,2,2,0
9,429137,2181,76,172,2015,5,12,26,52,0,3,2
224,1895,59,5,0,2016,6,8,14,32,2,2,1
1,59843,68,16,10,2016,6,2,7,5,0,0,0
2,211642,1378,65,103,2015,4,4,3,14,1,1,0
1,3700,29,6,3,2013,2,9,25,39,3,2,2
2,2303,4,0,0,2010,5,10,2,39,3,3,0
4794,5886,23,0,4,2016,4,11,4,44,3,3,0
107,9477,66,0,0,2015,0,6,22,26,2,1,2
53702,115426,83,10,2,2015,4,9,11,37,3,2,1
2,62255,71,10,1,2015,0,6,1,23,2,1,0
1,15353,13,6,9,2016,2,8,3,31,2,2,0
1,236589,1730,38,140,2015,3,8,20,34,2,2,1
2,94719,192,11,23,2016,0,8,1,31,2,2,0
14,3089826,7493,1148,330,2016,4,4,22,16,1,1,2
3,2046444,3910,845,247,2015,1,12,15,51,0,3,1
3,2103487,13342,734,650,2014,4,8,1,31,2,2,0
3,740683,935,68,57,2013,1,9,17,38,3,2,1
1,805979,2036,183,215,2015,0,3,23,13,1,0,2
1,229495,372,50,44,2014,4,5,30,22,1,1,2
1,2758,2,0,1,2013,1,10,15,42,3,3,1
1,24672,313,10,128,2013,0,9,23,39,3,2,2
2,2000406,14974,686,1297,2016,5,2,27,8,0,0,2
4,163161,617,25,51,2016,4,6,24,25,2,1,2
6,422797,1226,122,117,2016,4,8,12,32,2,2,1
1,157479,944,40,52,2015,5,4,4,14,1,1,0
1,109,0,1,0,2014,3,5,1,18,1,1,0
53,3258674,9193,290,823,2015,1,7,7,28,2,2,0
2,17128,33,4,4,2011,5,9,24,38,3,2,2
1,136151,155,13,14,2016,0,8,8,32,2,2,0
1,1034,5,0,0,2016,1,3,1,9,1,0,0
1,513871,743,214,45,2015,2,6,17,25,2,1,1
4,178089,1259,24,124,2016,4,6,10,23,2,1,0
17,553420,818,167,59,2013,0,9,16,38,3,2,1
2,623004,531,182,76,2013,2,3,6,10,1,0,0
1,172599,162,61,35,2015,0,5,11,20,1,1,1
1,793069,2638,163,135,2015,5,7,11,28,2,2,1
4,462,1,0,0,2016,1,9,20,38,3,2,1
1,15882,102,1,41,2010,2,12,22,51,0,3,2
1,797861,2117,225,170,2015,6,8,2,31,2,2,0
1,5503,6,2,1,2013,0,6,17,25,2,1,1
1,19213,78,5,0,2016,4,9,2,35,3,2,0
4,165497,215,62,153,2013,5,1,19,3,0,0,1
1,212195,561,61,192,2016,4,5,20,20,1,1,1
4,805,6,0,0,2016,5,6,4,22,2,1,0
5,89443,84,26,4,2014,0,4,21,17,1,1,2
2,56573,228,5,16,2013,5,9,7,36,3,2,0
61,367301,204,80,4,2014,5,12,13,50,0,3,1
1619,1389401,13224,831,522,2013,3,10,17,42,3,3,1
1,7702,23,0,1,2014,5,11,15,46,3,3,1
1,101581,314,11,4,2015,0,11,30,49,3,3,2
182,581,7,0,1,2014,6,1,26,4,0,0,2
5,1515742,14551,514,5752,2016,2,3,9,10,1,0,0
36,11991184,48324,5808,5167,2014,4,9,12,37,3,2,1
3,1275680,4743,932,184,2016,4,3,11,10,1,0,1
3,127821,1127,80,466,2016,0,7,11,28,2,2,1
1,7779,59,0,7,2016,5,6,25,25,2,1,2
11,415699,251,49,23,2012,0,5,14,20,1,1,1
1,162390,1031,34,33,2015,3,9,17,38,3,2,1
7,683587,1172,122,85,2013,1,5,28,22,1,1,2
2,38570,55,6,11,2011,1,6,14,24,2,1,1
2,503532,1872,50,85,2012,1,3,20,12,1,0,1
1,52039,240,16,145,2016,1,6,28,26,2,1,2
16,5863262,10238,2541,611,2015,4,8,21,34,2,2,2
3,981761,2414,267,217,2016,0,5,16,20,1,1,1
1,31339,142,11,16,2009,2,10,14,42,3,3,1
1,18222,51,6,30,2014,6,2,16,7,0,0,1
1,21772,37,3,3,2016,4,2,19,7,0,0,1
4,15345,9,8,0,2013,1,12,3,49,0,3,0
1,81993,882,21,227,2012,6,12,23,51,0,3,2
3,293365,126,36,7,2012,2,1,18,3,0,0,1
1,1939,36,0,16,2014,3,10,30,44,3,3,2
1,23692,178,6,19,2015,6,7,12,28,2,2,1
2,970875,4982,235,256,2015,0,2,16,8,0,0,1
2,11703,217,13,6,2016,4,9,23,38,3,2,2
1,167645,154,52,81,2016,4,4,15,15,1,1,1
1,7759,34,4,18,2013,0,11,11,46,3,3,1
2,775,7,0,1,2016,2,8,24,34,2,2,2
69,3423094,1195,624,26,2012,5,9,1,35,3,2,0
5,21512,203,12,61,2013,1,5,28,22,1,1,2
1,123061,140,42,20,2016,2,9,28,39,3,2,2
2,25680,20,6,1,2012,4,8,31,35,2,2,2
2,635882,1048,126,589,2016,2,3,2,9,1,0,0
2,578880,1434,205,173,2016,6,6,5,22,2,1,0
1,141023,154,44,16,2014,6,12,7,49,0,3,0
1,1208415,2082,202,120,2010,2,11,10,45,3,3,0
1,5993,11,2,1,2015,0,9,21,39,3,2,2
6,1908671,675,448,71,2016,1,9,13,37,3,2,1
124,609442,6698,349,724,2016,6,1,31,4,0,0,2
1,569870,730,63,69,2011,4,6,24,25,2,1,2
11,335120,327,125,28,2016,5,8,20,33,2,2,1
3291,4351,56,1,18,2017,2,3,22,12,1,0,2
1,424331,166,80,6,2016,3,7,14,28,2,2,1
1,845994,4212,251,736,2015,2,7,15,29,2,2,1
14,921464,430,343,F,2016,5,8,6,31,2,2,0
19,598434,4851,1170,1243,2012,4,9,21,38,3,2,2
4,184429,1136,175,625,2016,4,9,30,39,3,2,2
1,321059,1373,119,544,2016,4,9,16,37,3,2,1
1,4609,67,7,60,2013,6,12,15,50,0,3,1
10,2911207,18658,384,2599,2016,5,7,9,27,2,2,0
14,845625,652,197,71,2016,5,7,9,27,2,2,0
1,6487,23,1,0,2013,4,12,6,49,0,3,0
1,3793,2,3,0,2013,2,12,11,50,0,3,1
8,599143,1682,119,55,2012,2,3,21,12,1,0,2
2,13259,92,10,8,2013,0,9,9,37,3,2,0
1,141,0,0,0,2016,4,8,26,34,2,2,2
2,678578,267,112,F,2014,6,8,17,33,2,2,1
37895,63164,60,5,7,2016,4,10,21,42,3,3,2
4,542073,2043,138,459,2015,5,1,24,4,0,0,2
1,525236,7064,95,460,2016,3,6,23,25,2,1,2
2,11909,40,1,2,2011,6,12,4,48,0,3,0
1,279067,1610,203,1823,2016,2,8,3,31,2,2,0
2,194540,2106,242,254,2016,0,8,15,33,2,2,1
1,57917,461,11,10,2014,4,7,4,27,2,2,0
1,118990,195,11,14,2015,2,10,21,43,3,3,2
1,10168,88,2,11,2016,3,5,19,20,1,1,1
1,10328,79,14,F,2014,4,4,18,16,1,1,1
1,17530,95,5,11,2016,4,9,23,38,3,2,2
372,40222,60,48,11,2015,0,8,17,34,2,2,1
1,236928,281,37,6,2016,4,2,26,8,0,0,2
1909,2019,4,0,3,2017,1,2,7,6,0,0,0
1,610698,10095,183,646,2014,5,3,15,11,1,0,1
2,52837,989,15,53,2016,3,11,3,44,3,3,0
1,113011,158,37,24,2015,2,9,2,36,3,2,0
68944,187968,2972,185,564,2016,1,12,20,51,0,3,1
3,318644,592,118,76,2012,2,7,11,28,2,2,1
4,2704332,3772,192,316,2009,3,6,18,25,2,1,1
1,5934,27,0,8,2013,4,11,1,44,3,3,0
1,54161,219,6,11,2013,3,7,11,28,2,2,1
3801,11097,58,3,7,2015,0,6,22,26,2,1,2
1,269247,8142,134,744,2016,3,9,22,38,3,2,2
2,66892,232,8,125,2009,6,7,19,29,2,2,1
20,144107,450,11,36,2014,3,2,6,6,0,0,0
1,8413,70,3,1,2016,5,12,24,51,0,3,2
1,2721169,15452,401,564,2016,3,12,1,48,0,3,0
1,61779,194,7,33,2016,1,9,20,38,3,2,1
2633,3698,8,1,0,2014,0,6,2,23,2,1,0
1,1717192,6180,176,481,2016,4,6,17,24,2,1,1
1,817940,3692,74,263,2014,2,9,3,36,3,2,0
1,427942,1244,47,114,2015,0,2,2,6,0,0,0
2,11304,56,3,8,2013,0,11,11,46,3,3,1
12,569363,3253,398,923,2015,6,9,20,38,3,2,1
7,755505,1869,515,214,2016,5,1,16,2,0,0,1
2,166099,189,54,20,2015,4,5,22,21,1,1,2
4853,6423,7,2,0,2015,1,9,22,39,3,2,2
8,127347,F,F,4,2017,1,2,28,9,0,0,2
1,413720,2381,65,489,2016,6,7,10,27,2,2,0
1,1350,1,0,0,2015,2,6,3,23,2,1,0
6,292248,901,42,66,2014,1,12,9,50,0,3,0
27,3475658,3593,1168,210,2015,0,4,13,16,1,1,1
2,487233,2645,439,835,2015,6,5,10,19,1,1,0
8,162216,1005,25,37,2016,0,6,20,25,2,1,1
2,2257,2,0,0,2013,0,10,14,42,3,3,1
3,849510,8176,1230,2190,2012,5,1,7,1,0,0,0
1,44545,62,17,15,2016,1,9,13,37,3,2,1
2,236444,1037,92,61,2015,3,4,16,16,1,1,1
1,146078,510,31,29,2014,5,12,6,49,0,3,0
1,68763,75,29,1,2014,1,8,5,32,2,2,0
2,2353030,26642,276,4564,2016,2,3,16,11,1,0,1
1,797173,739,379,67,2015,0,6,22,26,2,1,2
1,539,0,0,0,2015,0,3,2,10,1,0,0
7,37147,234,9,4,2016,0,8,8,32,2,2,0
238,1760531,2220,401,151,2013,2,8,21,34,2,2,2
1,150554,304,39,47,2015,1,9,1,36,3,2,0
4,11678,25,0,1,2010,5,10,2,39,3,3,0
3,437404,1081,79,42,2013,0,12,16,51,0,3,1
7,368,0,1,0,2016,3,4,14,15,1,1,1
1,343728,488,75,74,2015,4,5,15,20,1,1,1
1,11226,34,3,0,2016,2,8,3,31,2,2,0
2,60994,78,16,12,2013,5,2,2,5,0,0,0
1,4834,0,0,0,2016,0,4,18,16,1,1,1
21614,36728,768,6,14,2016,3,11,24,47,3,3,2
7,650504,1667,94,43,2013,6,12,29,52,0,3,2
3,770809,582,227,69,2016,1,7,19,29,2,2,1
2,35171,383,5,60,2012,4,7,6,27,2,2,0
5,835520,7128,367,1194,2016,4,8,12,32,2,2,1
1,215305,238,53,74,2014,4,11,7,45,3,3,0
6,1107051,1421,134,47,2013,1,12,3,49,0,3,0
1,881444,F,F,37,2015,0,5,11,20,1,1,1
1,92,1,0,0,2014,4,4,4,14,1,1,0
22,132515,442,49,146,2015,4,9,25,39,3,2,2
1,2631,14,1,3,2014,3,1,2,1,0,0,0
8,460207,826,94,24,2013,3,2,7,6,0,0,0
1,66676,277,10,18,2015,4,5,8,19,1,1,0
2210,2551,0,0,2,2013,2,6,5,23,2,1,0
191,791067,7285,378,799,2017,5,1,28,4,0,0,2
1,25886,88,5,6,2014,0,1,6,2,0,0,0
1,366630,260,142,13,2015,4,9,11,37,3,2,1
1,1138910,2919,817,628,2014,4,2,14,7,0,0,1
1,1517387,4557,237,407,2014,2,6,25,26,2,1,2
9,113411,195,24,34,2013,6,7,21,29,2,2,2
3,49113,587,15,131,2013,0,5,27,22,1,1,2
4,929267,349,104,24,2011,4,2,11,6,0,0,1
1,161673,241,12,145,2006,3,11,2,44,3,3,0
1,40771,481,13,59,2016,4,12,2,48,0,3,0
2,95077,249,16,86,2014,1,3,25,13,1,0,2
1,1188997,2323,244,1278,2016,0,8,29,35,2,2,2
1,544614,9149,52,474,2016,3,2,25,8,0,0,2
2,555270,971,61,162,2014,1,7,15,29,2,2,1
1,127370,106,170,57,2012,0,9,10,37,3,2,0
3,769740,1125,301,52,2015,5,12,12,50,0,3,1
1,320097,401,87,26,2015,4,5,29,22,1,1,2
471,1017837,47134,286,1785,2014,4,4,18,16,1,1,1
1,259096,722,58,47,2015,6,10,11,41,3,3,1
1,37708,112,3,5,2016,4,5,27,21,1,1,2
11,2287062,2088,545,111,2014,2,8,27,35,2,2,2
22,1245266,821,340,F,2016,2,8,17,33,2,2,1
1,578,0,1,0,2013,5,11,16,46,3,3,1
12,3383658,20552,1347,4722,2016,5,4,30,17,1,1,2
1,122309,485,24,44,2015,4,1,9,2,0,0,0
5,165692,93,10,8,2011,1,11,8,45,3,3,0
1,35552,103,12,17,2017,1,2,7,6,0,0,0
4,210091,5475,222,642,2016,6,6,19,24,2,1,1
1,80852,487,15,67,2016,0,12,5,49,0,3,0
1,182838,1271,33,101,2015,3,7,30,31,2,2,2
1,174770,47,29,2,2013,6,11,24,47,3,3,2
2,61745,360,13,33,2012,1,8,21,34,2,2,2
9,173389,190,14,21,2012,3,10,11,41,3,3,1
4,213274,1456,117,161,2016,4,9,16,37,3,2,1
8,6437,8,2,1,2014,4,4,18,16,1,1,1
2,451634,4494,452,330,2014,0,12,15,51,0,3,1
8,451701,736,113,54,2012,2,7,18,29,2,2,1
1,6370,F,F,0,2016,1,10,25,43,3,3,2
16,64627,111,5,7,2013,2,12,18,51,0,3,1
92782,994350,10883,269,1625,2016,3,9,22,38,3,2,2
913,73858,1397,16,117,2016,4,4,29,17,1,1,2
1,475,4,1,0,2013,1,7,16,29,2,2,1
1,201567,1820,33,58,2015,2,5,6,19,1,1,0
1,7359,25,4,1,2012,2,7,18,29,2,2,1
1,4918,4,1,0,2016,3,2,25,8,0,0,2
12,2924037,15147,919,1118,2015,5,4,25,17,1,1,2
2,1161919,685,230,59,2016,5,7,16,28,2,2,1
1,78137,1440,38,300,2014,2,12,31,1,0,3,2
4,4159,10,0,2,2014,1,11,4,45,3,3,0
1,300603,936,117,836,2016,4,4,22,16,1,1,2
2,2842181,7122,596,187,2016,4,1,22,3,0,0,2
1,15242,31,17,2,2013,1,10,8,41,3,3,0
1,115598,90,39,F,2017,2,2,22,8,0,0,2
2,72040,152,17,17,2014,3,11,27,48,3,3,2
7,3502308,7062,716,219,2014,4,6,6,23,2,1,0
1,51841,183,8,24,2014,2,1,22,4,0,0,2
1,522447,14577,449,1243,2016,2,7,20,29,2,2,1
8,21650,37,4,3,2015,4,10,23,43,3,3,2
11,197430,482,29,31,2013,2,12,18,51,0,3,1
18,522846,2606,28,632,2010,6,10,24,42,3,3,2
3,6711,31,1,6,2013,3,8,22,34,2,2,2
2,314985,1668,206,1099,2016,4,7,15,28,2,2,1
11,231201,386,50,F,2013,4,9,20,38,3,2,1
42,201460,340,26,34,2013,2,3,20,12,1,0,1
2,2739797,8869,284,875,2013,5,6,15,24,2,1,1
1,658,3,1,1,2016,0,9,5,36,3,2,0
4,10911,35,6,3,2011,4,2,4,5,0,0,0
1,111503,F,F,19,2015,5,1,10,2,0,0,0
2,1227231,7101,4607,1901,2016,1,6,14,24,2,1,1
8,1663486,3908,532,235,2016,0,8,29,35,2,2,2
2,646333,1418,92,38,2014,5,6,7,23,2,1,0
1,220033,1025,189,575,2016,5,7,23,29,2,2,2
4,511438,5855,529,314,2016,1,8,2,31,2,2,0
1,243009,821,7,85,2010,4,9,24,38,3,2,2
1,433724,701,45,10,2016,5,9,24,38,3,2,2
1,399467,1048,180,145,2012,2,6,13,24,2,1,1
1,72049,1859,31,671,2016,4,9,9,36,3,2,0
6,261614,121,78,19,2012,1,8,28,35,2,2,2
2,35862,50,2,2,2014,0,4,28,18,1,1,2
4,1114667,525,305,23,2016,4,4,15,15,1,1,1
14,560652,1016,196,95,2013,0,10,21,43,3,3,2
16,4417750,21212,6067,1527,2015,2,7,1,27,2,2,0
2,80668,631,25,76,2015,2,2,18,8,0,0,1
1,4852,43,0,33,2015,1,12,15,51,0,3,1
1687,171448,149,4,44,2016,3,7,28,30,2,2,2
7,632,4,0,0,2016,2,10,19,42,3,3,1
10,1341876,2191,105,206,2010,2,10,6,40,3,3,0
4,6650767,61792,740,4780,2015,2,4,29,18,1,1,2
1,46944,152,27,23,2013,4,11,1,44,3,3,0
3,16230,749,40,195,2016,2,12,21,51,0,3,2
6,43861,231,5,25,2013,0,11,4,45,3,3,0
5,425953,6513,206,1312,2016,2,8,24,34,2,2,2
1,209081,124,39,6,2015,4,6,26,26,2,1,2
1,3787,132,9,45,2013,6,8,25,34,2,2,2
1,715738,4569,138,556,2015,3,1,8,2,0,0,0
1,1041,2,1,1,2016,4,12,30,52,0,3,2
11,1185443,13544,3457,3561,2016,6,8,14,32,2,2,1
25,787026,1873,308,171,2012,6,10,21,42,3,3,2
1,491738,817,115,76,2016,5,2,27,8,0,0,2
3,87604,125,11,5,2012,0,1,2,1,0,0,0
25,143266,320,21,66,2013,0,5,13,20,1,1,1
17,2718145,31101,645,5071,2016,4,2,12,6,0,0,1
1,73427,1806,7,336,2016,6,6,19,24,2,1,1
2,30259,454,32,274,2016,5,5,7,18,1,1,0
2,39803,220,5,8,2010,0,12,20,51,0,3,1
7,142533,452,19,27,2016,2,3,16,11,1,0,1
4,223879,254,25,15,2010,1,11,2,44,3,3,0
2,35810,673,5,38,2015,2,4,1,14,1,1,0
5,1895040,6084,644,172,2016,1,9,27,39,3,2,2
1,656479,4473,502,865,2016,2,6,1,22,2,1,0
1,359093,1431,48,268,2014,4,7,18,29,2,2,1
1,312793,1470,83,572,2016,1,4,19,16,1,1,1
5,4419311,3204,1322,185,2015,6,7,26,30,2,2,2
1,19212,104,4,8,2012,2,11,28,48,3,3,2
2,1381,32,2,3,2014,3,12,18,51,0,3,1
8,138050,443,63,39,2014,0,5,12,20,1,1,1
1,80088,105,5,29,2015,1,12,8,50,0,3,0
3,99819,43,13,5,2016,4,6,24,25,2,1,2
7,627292,2329,230,229,2016,0,4,11,15,1,1,1
2929,4139,65,0,26,2017,4,3,31,13,1,0,2
14,899472,7864,122,1337,2013,5,2,2,5,0,0,0
1,217276,503,88,121,2016,3,3,10,10,1,0,0
16,3949469,25566,1358,4255,2012,1,3,20,12,1,0,1
1,8846,137,3,7,2016,4,8,19,33,2,2,1
1,563,4,0,4,2014,0,10,20,43,3,3,1
19,303874,135,43,9,2013,3,8,29,35,2,2,2
3,283387,224,27,3,2015,4,6,26,26,2,1,2
11,51384,132,6,12,2014,1,2,18,8,0,0,1
8,2462561,1771,664,90,2016,1,6,28,26,2,1,2
